sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"exp_data_filtered$gname","Unmatched","","","",""
"A1BG","Approved symbol","A1BG","alpha-1-B glycoprotein","HGNC:5","19q13.43"
"A1CF","Approved symbol","A1CF","APOBEC1 complementation factor","HGNC:24086","10q11.23"
"A4GALT","Approved symbol","A4GALT","alpha 1,4-galactosyltransferase (P blood group)","HGNC:18149","22q13.2"
"AAAS","Approved symbol","AAAS","aladin WD repeat nucleoporin","HGNC:13666","12q13.13"
"AACS","Approved symbol","AACS","acetoacetyl-CoA synthetase","HGNC:21298","12q24.31"
"AADAC","Approved symbol","AADAC","arylacetamide deacetylase","HGNC:17","3q25.1"
"AADAT","Approved symbol","AADAT","aminoadipate aminotransferase","HGNC:17929","4q33"
"AAED1","Previous symbol","PRXL2C","peroxiredoxin like 2C","HGNC:16881","9q22.33"
"AAGAB","Approved symbol","AAGAB","alpha and gamma adaptin binding protein","HGNC:25662","15q23"
"AAK1","Approved symbol","AAK1","AP2 associated kinase 1","HGNC:19679","2p13.3"
"AAMDC","Approved symbol","AAMDC","adipogenesis associated Mth938 domain containing","HGNC:30205","11q14.1"
"AAMP","Approved symbol","AAMP","angio associated migratory cell protein","HGNC:18","2q35"
"AAR2","Approved symbol","AAR2","AAR2 splicing factor","HGNC:15886","20q11.23"
"AARS","Previous symbol","AARS1","alanyl-tRNA synthetase 1","HGNC:20","16q22.1"
"AARS2","Approved symbol","AARS2","alanyl-tRNA synthetase 2, mitochondrial","HGNC:21022","6p21.1"
"AASDH","Approved symbol","AASDH","aminoadipate-semialdehyde dehydrogenase","HGNC:23993","4q12"
"AASDHPPT","Approved symbol","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","HGNC:14235","11q22.3"
"AASS","Approved symbol","AASS","aminoadipate-semialdehyde synthase","HGNC:17366","7q31.32"
"AATF","Approved symbol","AATF","apoptosis antagonizing transcription factor","HGNC:19235","17q12"
"ABAT","Approved symbol","ABAT","4-aminobutyrate aminotransferase","HGNC:23","16p13.2"
"ABCA1","Approved symbol","ABCA1","ATP binding cassette subfamily A member 1","HGNC:29","9q31.1"
"ABCA10","Approved symbol","ABCA10","ATP binding cassette subfamily A member 10","HGNC:30","17q24.3"
"ABCA12","Approved symbol","ABCA12","ATP binding cassette subfamily A member 12","HGNC:14637","2q35"
"ABCA2","Approved symbol","ABCA2","ATP binding cassette subfamily A member 2","HGNC:32","9q34.3"
"ABCA3","Approved symbol","ABCA3","ATP binding cassette subfamily A member 3","HGNC:33","16p13.3"
"ABCA5","Approved symbol","ABCA5","ATP binding cassette subfamily A member 5","HGNC:35","17q24.3"
"ABCA7","Approved symbol","ABCA7","ATP binding cassette subfamily A member 7","HGNC:37","19p13.3"
"ABCA8","Approved symbol","ABCA8","ATP binding cassette subfamily A member 8","HGNC:38","17q24.2"
"ABCB1","Approved symbol","ABCB1","ATP binding cassette subfamily B member 1","HGNC:40","7q21.12"
"ABCB10","Approved symbol","ABCB10","ATP binding cassette subfamily B member 10","HGNC:41","1q42.13"
"ABCB6","Approved symbol","ABCB6","ATP binding cassette subfamily B member 6 (Langereis blood group)","HGNC:47","2q35"
"ABCB7","Approved symbol","ABCB7","ATP binding cassette subfamily B member 7","HGNC:48","Xq13.3"
"ABCB8","Approved symbol","ABCB8","ATP binding cassette subfamily B member 8","HGNC:49","7q36.1"
"ABCB9","Approved symbol","ABCB9","ATP binding cassette subfamily B member 9","HGNC:50","12q24.31"
"ABCC1","Approved symbol","ABCC1","ATP binding cassette subfamily C member 1","HGNC:51","16p13.11"
"ABCC10","Approved symbol","ABCC10","ATP binding cassette subfamily C member 10","HGNC:52","6p21.1"
"ABCC2","Approved symbol","ABCC2","ATP binding cassette subfamily C member 2","HGNC:53","10q24.2"
"ABCC3","Approved symbol","ABCC3","ATP binding cassette subfamily C member 3","HGNC:54","17q21.33"
"ABCC4","Approved symbol","ABCC4","ATP binding cassette subfamily C member 4","HGNC:55","13q32.1"
"ABCC5","Approved symbol","ABCC5","ATP binding cassette subfamily C member 5","HGNC:56","3q27.1"
"ABCC6","Approved symbol","ABCC6","ATP binding cassette subfamily C member 6","HGNC:57","16p13.11"
"ABCC8","Approved symbol","ABCC8","ATP binding cassette subfamily C member 8","HGNC:59","11p15.1"
"ABCC9","Approved symbol","ABCC9","ATP binding cassette subfamily C member 9","HGNC:60","12p12.1"
"ABCD1","Approved symbol","ABCD1","ATP binding cassette subfamily D member 1","HGNC:61","Xq28"
"ABCD2","Approved symbol","ABCD2","ATP binding cassette subfamily D member 2","HGNC:66","12q12"
"ABCD3","Approved symbol","ABCD3","ATP binding cassette subfamily D member 3","HGNC:67","1p21.3"
"ABCD4","Approved symbol","ABCD4","ATP binding cassette subfamily D member 4","HGNC:68","14q24.3"
"ABCE1","Approved symbol","ABCE1","ATP binding cassette subfamily E member 1","HGNC:69","4q31.21"
"ABCF1","Approved symbol","ABCF1","ATP binding cassette subfamily F member 1","HGNC:70","6p21.33"
"ABCF2","Approved symbol","ABCF2","ATP binding cassette subfamily F member 2","HGNC:71","7q36.1"
"ABCF3","Approved symbol","ABCF3","ATP binding cassette subfamily F member 3","HGNC:72","3q27.1"
"ABCG1","Approved symbol","ABCG1","ATP binding cassette subfamily G member 1","HGNC:73","21q22.3"
"ABCG2","Approved symbol","ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group)","HGNC:74","4q22.1"
"ABHD10","Approved symbol","ABHD10","abhydrolase domain containing 10, depalmitoylase","HGNC:25656","3q13.2"
"ABHD11","Approved symbol","ABHD11","abhydrolase domain containing 11","HGNC:16407","7q11.23"
"ABHD12","Approved symbol","ABHD12","abhydrolase domain containing 12, lysophospholipase","HGNC:15868","20p11.21"
"ABHD13","Approved symbol","ABHD13","abhydrolase domain containing 13","HGNC:20293","13q33.3"
"ABHD14A","Approved symbol","ABHD14A","abhydrolase domain containing 14A","HGNC:24538","3p21.2"
"ABHD14B","Approved symbol","ABHD14B","abhydrolase domain containing 14B","HGNC:28235","3p21.2"
"ABHD15","Approved symbol","ABHD15","abhydrolase domain containing 15","HGNC:26971","17q11.2"
"ABHD17A","Approved symbol","ABHD17A","abhydrolase domain containing 17A, depalmitoylase","HGNC:28756","19p13.3"
"ABHD17B","Approved symbol","ABHD17B","abhydrolase domain containing 17B, depalmitoylase","HGNC:24278","9q21.13"
"ABHD17C","Approved symbol","ABHD17C","abhydrolase domain containing 17C, depalmitoylase","HGNC:26925","15q25.1"
"ABHD2","Approved symbol","ABHD2","abhydrolase domain containing 2, acylglycerol lipase","HGNC:18717","15q26.1"
"ABHD3","Approved symbol","ABHD3","abhydrolase domain containing 3, phospholipase","HGNC:18718","18q11.2"
"ABHD4","Approved symbol","ABHD4","abhydrolase domain containing 4, N-acyl phospholipase B","HGNC:20154","14q11.2"
"ABHD5","Approved symbol","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase","HGNC:21396","3p21.33"
"ABHD6","Approved symbol","ABHD6","abhydrolase domain containing 6, acylglycerol lipase","HGNC:21398","3p14.3"
"ABHD8","Approved symbol","ABHD8","abhydrolase domain containing 8","HGNC:23759","19p13.11"
"ABI1","Approved symbol","ABI1","abl interactor 1","HGNC:11320","10p12.1"
"ABI2","Approved symbol","ABI2","abl interactor 2","HGNC:24011","2q33.2"
"ABL1","Approved symbol","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","HGNC:76","9q34.12"
"ABL2","Approved symbol","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase","HGNC:77","1q25.2"
"ABLIM1","Approved symbol","ABLIM1","actin binding LIM protein 1","HGNC:78","10q25.3"
"ABLIM3","Approved symbol","ABLIM3","actin binding LIM protein family member 3","HGNC:29132","5q32"
"ABR","Approved symbol","ABR","ABR activator of RhoGEF and GTPase","HGNC:81","17p13.3"
"ABRACL","Approved symbol","ABRACL","ABRA C-terminal like","HGNC:21230","6q24.1"
"ABT1","Approved symbol","ABT1","activator of basal transcription 1","HGNC:17369","6p22.2"
"ABTB1","Approved symbol","ABTB1","ankyrin repeat and BTB domain containing 1","HGNC:18275","3q21.3"
"ABTB2","Approved symbol","ABTB2","ankyrin repeat and BTB domain containing 2","HGNC:23842","11p13"
"AC004381.6","Unmatched","","","",""
"AC004466.1","Unmatched","","","",""
"AC005003.1","Unmatched","","","",""
"AC007040.11","Unmatched","","","",""
"AC007461.1","Unmatched","","","",""
"AC008394.1","Unmatched","","","",""
"AC008443.1","Unmatched","","","",""
"AC009065.1","Unmatched","","","",""
"AC009403.2","Unmatched","","","",""
"AC010642.1","Unmatched","","","",""
"AC026740.1","Unmatched","","","",""
"AC027763.2","Unmatched","","","",""
"AC079602.1","Unmatched","","","",""
"AC096677.1","Unmatched","","","",""
"AC104841.2","Unmatched","","","",""
"AC117395.1","Unmatched","","","",""
"AC119673.1","Unmatched","","","",""
"AC127496.1","Unmatched","","","",""
"AC129492.6","Unmatched","","","",""
"AC135178.1","Unmatched","","","",""
"AC137932.1","Unmatched","","","",""
"AC139100.2","Unmatched","","","",""
